Fréquence (Hz)	Niveau (dB)
10077.539063	-71.103363
10120.605469	-72.352089
10163.671875	-73.146133
10206.738281	-73.707687
10249.804688	-72.511276
10292.871094	-72.182800
10335.937500	-72.532234
10379.003906	-71.989227
10422.070313	-72.224007
10465.136719	-72.453514
10508.203125	-72.515961
10551.269531	-72.331406
10594.335938	-73.964470
10637.402344	-73.205208
10680.468750	-72.433929
10723.535156	-72.478348
10766.601563	-73.488358
10809.667969	-74.660034
10852.734375	-72.638084
10895.800781	-73.933372
10938.867188	-72.594048
10981.933594	-73.099030
11025.000000	-73.878471
11068.066406	-73.876320
11111.132813	-73.758347
11154.199219	-73.881340
11197.265625	-72.493347
11240.332031	-73.286797
11283.398438	-73.224953
11326.464844	-73.099266
11369.531250	-73.531036
11412.597656	-73.142349
11455.664063	-73.913551
11498.730469	-73.415192
11541.796875	-72.521805
11584.863281	-72.663994
11627.929688	-73.143265
11670.996094	-75.343445
11714.062500	-74.019928
11757.128906	-74.211739
11800.195313	-72.997978
11843.261719	-73.197144
11886.328125	-73.733017
11929.394531	-73.968758
11972.460938	-74.695610
12015.527344	-73.149773
12058.593750	-74.559425
12101.660156	-73.275871
12144.726563	-73.571915
12187.792969	-73.112488
12230.859375	-73.866982
12273.925781	-72.487061
12316.992188	-73.321243
12360.058594	-73.305397
12403.125000	-73.523491
12446.191406	-73.490456
12489.257813	-73.854416
12532.324219	-73.766151
12575.390625	-72.884666
12618.457031	-72.626694
12661.523438	-73.402443
12704.589844	-74.145790
12747.656250	-73.838272
12790.722656	-75.137627
12833.789063	-74.419800
12876.855469	-74.428032
12919.921875	-74.126831
12962.988281	-74.989128
13006.054688	-75.333954
13049.121094	-73.056068
13092.187500	-72.822227
13135.253906	-73.759354
13178.320313	-73.692886
13221.386719	-73.579727
13264.453125	-74.107971
13307.519531	-74.044991
13350.585938	-74.209702
13393.652344	-73.777992
13436.718750	-72.500610
13479.785156	-75.248581
13522.851563	-74.814400
13565.917969	-73.921722
13608.984375	-74.203300
13652.050781	-75.343376
13695.117188	-75.263275
13738.183594	-75.883667
13781.250000	-74.988815
13824.316406	-74.993752
13867.382813	-73.949867
13910.449219	-74.243637
13953.515625	-73.859917
13996.582031	-73.798019
14039.648438	-74.348824
14082.714844	-74.609550
14125.781250	-75.743599
14168.847656	-74.749062
14211.914063	-73.903549
14254.980469	-75.092468
14298.046875	-73.597672
14341.113281	-75.214104
14384.179688	-75.271645
14427.246094	-74.811569
14470.312500	-74.325081
14513.378906	-74.739273
14556.445313	-74.671112
14599.511719	-75.713951
14642.578125	-74.054398
14685.644531	-73.719955
14728.710938	-74.192116
14771.777344	-75.340820
14814.843750	-74.192467
14857.910156	-75.804176
14900.976563	-75.174080
14944.042969	-76.498169
14987.109375	-74.761139
15030.175781	-76.848999
15073.242188	-75.292999
15116.308594	-74.946228
15159.375000	-73.414352
15202.441406	-74.079651
15245.507813	-74.655731
15288.574219	-74.513466
15331.640625	-75.862007
15374.707031	-74.734650
15417.773438	-76.309258
15460.839844	-74.547737
15503.906250	-75.933792
15546.972656	-75.013733
15590.039063	-74.971474
15633.105469	-75.495186
15676.171875	-73.813492
15719.238281	-75.830330
15762.304688	-75.289001
15805.371094	-76.969910
15848.437500	-73.042000
15891.503906	-75.684891
15934.570313	-74.802322
15977.636719	-74.971169
16020.703125	-74.953087
16063.769531	-74.106621
16106.835938	-74.908051
16149.902344	-74.032639
16192.968750	-74.603516
16236.035156	-75.862717
16279.101563	-74.504097
16322.167969	-74.526642
16365.234375	-74.646065
16408.300781	-74.749092
16451.367188	-75.963005
16494.433594	-75.506516
16537.500000	-75.243355
16580.566406	-74.738792
16623.632813	-74.842453
16666.699219	-75.243256
16709.765625	-74.775719
16752.832031	-74.208458
16795.898438	-75.358925
16838.964844	-75.879196
16882.031250	-75.928574
16925.097656	-74.945618
16968.164063	-77.212479
17011.230469	-75.911316
17054.296875	-75.736870
17097.363281	-74.844276
17140.429688	-75.779800
17183.496094	-75.297775
17226.562500	-77.026779
17269.628906	-75.397995
17312.695313	-75.590561
17355.761719	-74.561592
17398.828125	-74.125244
17441.894531	-73.833374
17484.960938	-75.864296
17528.027344	-75.063148
17571.093750	-76.977173
17614.160156	-75.388252
17657.226563	-74.404503
17700.292969	-75.890572
17743.359375	-75.477760
17786.425781	-74.680557
17829.492188	-74.603966
17872.558594	-75.568253
17915.625000	-75.984505
17958.691406	-74.289993
18001.757813	-74.812950
18044.824219	-75.991020
18087.890625	-75.159508
18130.957031	-75.437866
18174.023438	-74.435387
18217.089844	-75.299141
18260.156250	-76.952637
18303.222656	-74.658234
18346.289063	-74.659988
18389.355469	-76.167328
18432.421875	-73.788963
18475.488281	-75.079445
18518.554688	-76.915688
18561.621094	-75.371918
18604.687500	-75.383148
18647.753906	-76.888016
18690.820313	-75.531487
18733.886719	-75.855598
18776.953125	-75.721306
18820.019531	-75.677620
18863.085938	-75.831871
18906.152344	-73.841080
18949.218750	-74.750565
18992.285156	-75.682327
19035.351563	-76.900345
